DISTRICT,D20GR13N,D20GR13R,D30GR13N,D30GR13R,D40GR13N,D40GR13R,DA0GH13N,DA0GH13R,DA0GM13N,DA0GM13R,DA0GR13N,DA0GR13R,DAPID14N,DAPID14R,DAUND13C,DAUND13R,DB0GR13N,DB0GR13R,DH0GR13N,DH0GR13R,DI0GR13N,DI0GR13R,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR13N,DS0GR13R,DW0GR13N,DW0GR13R
'001902,3,6.1,0,0,0,0,39,79.599999999999994,10,20.399999999999999,49,100,0,0,1,0.3,8,16.3,2,4.0999999999999996,0,0,98,16.5,2.9,8.6,0,7.3,0,2.6,0,0,5.6,0,0,0,0,0,0,0,0,100,553,6,1.1,2,0.4,27,4.9,2,0.3,210,38,38,6.9,38,6.9,32,5.8,39,7.1,38,6.9,30,5.4,47,8.5,47,8.5,53,9.6,48,8.7,57,10.3,34,6.1,0,0,54,9.8,40,7.2,12,2.2,39,7.1,0,0,2,0.4,343,62,0,0,204,36.9,76,13.7,30,5.4,180,32.5,451,81.6,8,16.3,36,73.5
'001903,3,3.8,1,1.3,0,0,58,72.5,22,27.5,80,100,0,0,1,0.2,5,6.3,7,8.8000000000000007,0,0,178,15,4.8,5.2,0,1.2,2.1,1.2,3.7,1,13.6,25,0,0,0,0,0,0,0,20,1207,12,1,12,1,51,4.2,3,0.2,622,51.5,67,5.6,70,5.8,82,6.8,81,6.7,105,8.7,108,8.9,92,7.6,87,7.2,106,8.8,92,7.6,87,7.2,75,6.2,2,0.2,46,3.8,82,6.8,71,5.9,109,9,2,0.2,12,1,585,48.5,2,0.2,501,41.5,107,8.9,38,3.1,232,19.2,993,82.3,5,6.3,64,80
'001904,4,8,0,0,0,0,45,90,5,10,50,100,0,0,8,2.1,8,16,4,8,0,0,137,18.2,0,0,0,4.3,0,0,1.6,3.5,4,0,0,0,0,0,0,0,0,50,762,2,0.3,15,2,93,12.2,5,0.6,445,58.4,50,6.6,58,7.6,60,7.9,54,7.1,49,6.4,53,7,58,7.6,67,8.8,62,8.1,59,7.7,44,5.8,58,7.6,1,0.1,40,5.2,55,7.2,34,4.5,66,8.7,3,0.4,15,2,317,41.6,0,0,323,42.4,74,9.7,27,3.5,219,28.7,571,74.9,6,12,34,68
'001906,1,5.3,0,0,0,0,14,73.7,5,26.3,19,100,0,0,0,0,2,10.5,0,0,0,0,55,13.2,7.4,3.4,3.7,0,0,0,0,0,3.4,0,0,14.3,0,0,0,14.3,0,.,389,2,0.5,3,0.8,25,6.4,5,1.1000000000000001,150,38.6,29,7.5,27,6.9,34,8.7,30,7.7,25,6.4,34,8.7,35,9,31,8,22,5.7,26,6.7,33,8.5,39,10,0,0,27,6.9,24,6.2,0,0,42,10.8,0,0,3,0.8,239,61.4,0,0,128,32.9,35,9,6,1.5,161,41.4,314,80.7,2,10.5,16,84.2
'001907,0,0,4,2,0,0,188,94,12,6,200,100,7,0.2,2,0.1,56,28,77,38.5,0,0,567,17.899999999999999,5.9,6.5,3.1,0.9,1.4,1.9,0,1.9,1.5,14.3,10.5,0,0,0,0,0,4.8,13.3,3263,24,0.7,403,12.4,914,28,116,3.1,2476,75.9,295,9,265,8.1,249,7.6,255,7.8,235,7.2,227,7,224,6.9,224,6.9,249,7.6,205,6.3,198,6.1,149,4.6,35,1.1,114,3.5,273,8.4,180,5.5,1260,38.6,44,1.3,443,13.6,787,24.1,1,0,2053,62.9,255,7.8,73,2.2,799,24.5,947,29,14,7,63,31.5
'001908,2,2.2000000000000002,2,2.2000000000000002,0,0,73,82,16,18,89,100,5,0.3,0,0,22,24.7,16,18,1,1.1000000000000001,287,17.8,10.1,2.6,0.8,0,1.6,0,1.9,0,7.7,8.3000000000000007,0,0,0,0,0,0,0,0,1602,9,0.6,75,4.7,281,17.5,23,1.3,988,61.7,120,7.5,127,7.9,126,7.9,135,8.4,115,7.2,127,7.9,121,7.6,119,7.4,122,7.6,124,7.7,107,6.7,71,4.4,9,0.6,52,3.2,127,7.9,52,3.2,353,22,5,0.3,84,5.2,614,38.3,3,0.2,745,46.5,160,10,66,4.1,330,20.6,885,55.2,12,13.5,46,51.7
'001909,1,4,0,0,0,0,21,84,4,16,25,100,1,0.2,0,0,0,0,1,4,0,0,86,20.3,16.7,3.4,12.5,12,3.6,8.3000000000000007,0,4.3,0,0,0,20,0,0,0,0,0,0,412,0,0,1,0.2,7,1.7,2,0.4,197,47.8,37,9,24,5.8,35,8.5,24,5.8,29,7,36,8.7,24,5.8,32,7.8,24,5.8,34,8.3,27,6.6,30,7.3,1,0.2,17,4.1,30,7.3,25,6.1,22,5.3,1,0.2,1,0.2,215,52.2,0,0,141,34.2,49,11.9,13,3.2,164,39.8,369,89.6,3,12,23,92
'002901,1,0.6,0,0,0,0,134,75.7,43,24.3,177,100,1,0,5,0.3,6,3.4,109,61.6,2,1.1000000000000001,525,15.1,5.0999999999999996,1.1000000000000001,1.1000000000000001,0,4.0999999999999996,0.4,0,0.5,1.4,0,0,0,0,7.7,0,0,0,7.7,3758,13,0.3,502,13.4,53,1.4,40,1,1580,42,322,8.6,294,7.8,293,7.8,309,8.2,309,8.2,265,7.1,306,8.1,245,6.5,259,6.9,267,7.1,246,6.5,216,5.7,3,0.1,119,3.2,285,7.6,139,3.7,2493,66.3,11,0.3,443,11.8,2178,58,1,0,1595,42.4,248,6.6,59,1.6,629,16.7,1128,30,18,10.199999999999999,59,33.299999999999997
'003801,0,0,0,0,0,0,18,90,2,10,20,100,1,0.1,0,0,0,0,2,10,0,0,54,9.5,7.8,0,3.8,0,0,0,0,3.3,4.3,0,0,0,0,0,0,0,0,0,701,16,2.3,21,3,122,17.4,0,0,344,49.1,55,7.8,58,8.3,59,8.4,62,8.8,63,9,61,8.7,60,8.6,40,5.7,40,5.7,41,5.8,39,5.6,22,3.1,0,0,22,3.1,69,9.8,32,4.6,107,15.3,1,0.1,21,3,357,50.9,1,0.1,250,35.7,46,6.6,10,1.4,39,5.6,444,63.3,2,10,18,90
'003902,3,1.8,3,1.8,0,0,134,80.7,32,19.3,166,100,0,0,0,0,6,3.6,23,13.9,2,1.2,348,13.3,5.3,3.3,2.7,0,0.5,0.9,0.6,1,1,20,7.1,7.7,0,0,4.8,0,0,15.4,2774,27,1,182,6.6,160,5.8,57,1.9,1496,53.9,229,8.3,195,7,213,7.7,211,7.6,201,7.2,208,7.5,235,8.5,202,7.3,232,8.4,199,7.2,189,6.8,173,6.2,4,0.1,163,5.9,194,7,89,3.2,647,23.3,27,1,190,6.8,1278,46.1,1,0,1016,36.6,172,6.2,44,1.6,675,24.3,1868,67.3,15,9,129,77.7
'003903,11,2.1,8,1.5,1,0.2,432,81.8,96,18.2,528,100,77,0.8,28,0.8,128,24.2,168,31.8,1,0.2,1333,16.899999999999999,8.6999999999999993,4.8,0.7,2.1,0.8,0.2,0.4,1,6.2,29.5,3.8,0,0,2.8,1.2,0,0,25,8383,122,1.5,1913,22.8,2393,28.5,407,4.4000000000000004,6164,73.5,729,8.7,666,7.9,597,7.1,612,7.3,532,6.3,573,6.8,567,6.8,557,6.6,606,7.2,550,6.6,497,5.9,554,6.6,17,0.2,866,10.3,629,7.5,697,8.3,3332,39.7,19,0.2,1533,18.3,2219,26.5,10,0.1,5122,61.1,880,10.5,160,1.9,1614,19.3,2347,28,67,12.7,211,40
'003904,2,1.8,0,0,0,0,58,50.9,56,49.1,114,100,0,0,10,1.1000000000000001,3,2.6,3,2.6,0,0,270,15.6,6.6,1.2,0,0,0,0,0,0.8,0,40,0,0,0,0,0,0,0,0,1760,3,0.2,16,0.9,47,2.7,30,1.6,916,52,127,7.2,121,6.9,100,5.7,123,7,116,6.6,114,6.5,139,7.9,146,8.3,191,10.9,146,8.3,141,8,139,7.9,5,0.3,102,5.8,117,6.6,35,2,103,5.9,7,0.4,16,0.9,844,48,0,0,814,46.3,175,9.9,42,2.4,587,33.4,1558,88.5,20,17.5,106,93
'003905,4,3.1,1,0.8,0,0,87,67.400000000000006,42,32.6,129,100,1,0,0,0,19,14.7,49,38,0,0,230,13.1,4.5,2.4,1.4,0,0,0.9,0,0.8,5.5,10,12.5,0,0,0,0,0,0,9.1,1982,6,0.3,357,18,234,11.8,39,1.8,1499,75.6,157,7.9,140,7.1,138,7,147,7.4,128,6.5,153,7.7,127,6.4,137,6.9,138,7,139,7,120,6.1,119,6,1,0.1,85,4.3,149,7.5,189,9.5,1065,53.7,2,0.1,371,18.7,483,24.4,0,0,1061,53.5,186,9.4,24,1.2,432,21.8,651,32.8,18,14,56,43.4
'003906,3,9.6999999999999993,0,0,0,0,27,87.1,4,12.9,31,100,0,0,0,0,0,0,2,6.5,0,0,87,19.7,6.1,0,3.3,3.6,0,0,12.9,0,10,.,0,0,0,0,25,20,0,50,410,0,0,0,0,3,0.7,0,0,242,59,21,5.1,28,6.8,24,5.9,30,7.3,36,8.8,32,7.8,35,8.5,30,7.3,27,6.6,31,7.6,39,9.5,28,6.8,0,0,19,4.6,28,6.8,21,5.1,15,3.7,2,0.5,0,0,168,41,0,0,150,36.6,46,11.2,6,1.5,122,29.8,384,93.7,2,6.5,26,83.9
'003907,0,0,0,0,0,0,73,68.900000000000006,33,31.1,106,100,0,0,0,0,1,0.9,11,10.4,1,0.9,235,15.3,4.4000000000000004,1,0.9,0,1.9,0,0,0,1.9,14.3,0,0,0,0,0,0,14.3,18.2,1592,1,0.1,47,3,107,6.7,35,2.1,853,53.6,126,7.9,116,7.3,105,6.6,117,7.3,130,8.2,118,7.4,106,6.7,140,8.8,145,9.1,115,7.2,91,5.7,104,6.5,9,0.6,68,4.3,139,8.7,31,1.9,292,18.3,5,0.3,49,3.1,739,46.4,0,0,743,46.7,157,9.9,20,1.3,398,25,1167,73.3,17,16,93,87.7
'004901,2,1,6,3,0,0,181,89.6,21,10.4,202,100,1,0,12,0.8,1,0.5,76,37.6,0,0,555,17.600000000000001,4.0999999999999996,5.9,2.5,0,1.1000000000000001,1.3,0.8,0.5,3.3,0,0,0,3.4,4,0,0,0,15.8,3212,78,2.4,121,3.8,37,1.2,148,4.2,1785,55.6,244,7.6,248,7.7,243,7.6,269,8.4,215,6.7,238,7.4,253,7.9,260,8.1,260,8.1,243,7.6,225,7,196,6.1,4,0.1,125,3.9,247,7.7,67,2.1,1316,41,12,0.4,121,3.8,1427,44.4,0,0,1361,42.4,280,8.7,66,2.1,839,26.1,1703,53,20,9.9,117,57.9
'005901,4,11.1,0,0,0,0,28,77.8,8,22.2,36,100,1,0.2,0,0,0,0,0,0,1,2.8,66,13.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,6,1.2,2,0.4,9,1.7,188,38.6,30,6.2,31,6.4,34,7,44,9,33,6.8,32,6.6,33,6.8,44,9,45,9.2,42,8.6,42,8.6,32,6.6,0,0,35,7.2,33,6.8,12,2.5,43,8.8,3,0.6,6,1.2,299,61.4,0,0,187,38.4,54,11.1,26,5.3,152,31.2,413,84.8,2,5.6,31,86.1
'005902,0,0,0,0,0,0,45,69.2,20,30.8,65,100,1,0.1,0,0,1,1.5,3,4.5999999999999996,0,0,80,9.4,4.8,0,0,0,3.3,0,0,1.4,2,14.3,0,0,14.3,0,0,0,0,28.6,892,1,0.1,1,0.1,3,0.3,7,0.7,243,27.2,61,6.8,59,6.6,68,7.6,63,7.1,70,7.8,73,8.2,74,8.3,71,8,88,9.9,62,7,55,6.2,69,7.7,6,0.7,33,3.7,62,7,11,1.2,71,8,7,0.8,1,0.1,649,72.8,0,0,309,34.6,89,10,13,1.5,224,25.1,797,89.3,4,6.2,61,93.8
'005904,0,0,0,0,0,0,29,93.5,2,6.5,31,100,0,0,0,0,0,0,6,19.399999999999999,0,0,29,6.5,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,39,8.5,0,0,0,0,186,40.3,32,6.9,25,5.4,27,5.9,32,6.9,27,5.9,33,7.2,38,8.2,42,9.1,37,8,46,10,40,8.7,41,8.9,0,0,38,8.2,28,6.1,13,2.8,136,29.5,5,1.1,39,8.5,275,59.7,0,0,206,44.7,35,7.6,1,0.2,171,37.1,319,69.2,3,9.6999999999999993,25,80.599999999999994
'006902,0,0,0,0,0,0,22,95.7,1,4.3,23,100,0,0,0,0,1,4.3,1,4.3,0,0,44,12.5,8,0,0,0,0,0,0,0,10.5,50,0,0,0,0,0,0,0,33.299999999999997,369,0,0,3,0.8,8,2.2,3,0.8,150,40.7,22,6,24,6.5,28,7.6,20,5.4,30,8.1,23,6.2,31,8.4,27,7.3,30,8.1,33,8.9,27,7.3,28,7.6,0,0,10,2.7,30,8.1,16,4.3,43,11.7,2,0.5,3,0.8,219,59.3,0,0,148,40.1,45,12.2,10,2.7,102,27.6,306,82.9,2,8.6999999999999993,21,91.3
'007901,0,0,1,3.6,0,0,20,71.400000000000006,8,28.6,28,100,0,0,1,0.4,0,0,21,75,0,0,115,22.4,12.1,3.6,5.9,3.7,6.1,7.1,5.9,0,5.3,0,0,.,0,0,0,0,.,.,534,0,0,25,4.7,0,0,9,1.6,381,71.3,43,8.1,35,6.6,40,7.5,35,6.6,36,6.7,40,7.5,47,8.8,39,7.3,41,7.7,37,6.9,40,7.5,23,4.3,0,0,13,2.4,36,6.7,42,7.9,449,84.1,1,0.2,30,5.6,153,28.7,0,0,362,67.8,49,9.2,3,0.6,118,22.1,81,15.2,3,10.7,6,21.4
'007902,0,0,0,0,0,0,50,67.599999999999994,24,32.4,74,100,0,0,0,0,0,0,38,51.4,0,0,291,19,7.8,5.3,3.4,0,0,1.9,0.9,0,2.8,0,0,5,0,0,0,0,0,16.7,1552,3,0.2,35,2.3,11,0.7,22,1.3,870,56.1,123,7.9,109,7,102,6.6,111,7.2,102,6.6,131,8.4,108,7,127,8.2,144,9.3,112,7.2,123,7.9,105,6.8,0,0,88,5.7,107,6.9,48,3.1,913,58.8,4,0.3,35,2.3,682,43.9,1,0.1,659,42.5,128,8.2,17,1.1,454,29.3,603,38.9,2,2.7,36,48.6
'007904,1,0.9,0,0,0,0,102,94.4,6,5.6,108,100,0,0,18,2.1,2,1.9,80,74.099999999999994,0,0,301,17.600000000000001,0.9,0.9,2.5,0,0,0,0.8,0,3.5,0,0,0,0,0,0,0,0,7.1,1762,0,0,133,7.5,13,0.7,41,2.2000000000000002,1259,71.5,125,7.1,127,7.2,123,7,142,8.1,127,7.2,115,6.5,139,7.9,135,7.7,117,6.6,145,8.2,134,7.6,124,7,8,0.5,84,4.8,122,6.9,79,4.5,1408,79.9,7,0.4,143,8.1,503,28.5,3,0.2,965,54.8,116,6.6,6,0.3,542,30.8,325,18.4,2,1.9,25,23.1
'007905,1,0.5,0,0,0,0,185,84.9,33,15.1,218,100,0,0,0,0,2,0.9,147,67.400000000000006,2,0.9,630,18.100000000000001,2.4,3.2,1.2,0.5,5,0.8,0.4,0.4,0.4,0,0,0,0,5.3,0,0,0,0,3517,15,0.4,112,3.2,13,0.4,82,2.1,2149,61.1,259,7.4,265,7.5,254,7.2,282,8,241,6.9,272,7.7,279,7.9,265,7.5,268,7.6,262,7.4,247,7,206,5.9,7,0.2,161,4.6,253,7.2,157,4.5,2452,69.7,7,0.2,112,3.2,1368,38.9,0,0,1701,48.4,242,6.9,27,0.8,928,26.4,1003,28.5,27,12.4,66,30.3
'007906,0,0,0,0,0,0,92,89.3,11,10.7,103,100,0,0,2,0.2,0,0,79,76.7,0,0,246,14.6,6.9,4.2,0,0,0.8,0,0,0.9,5,0,0,0,0,0,0,0,0,0,1758,2,0.1,65,3.7,6,0.3,60,3.1,1439,81.9,142,8.1,138,7.8,140,8,113,6.4,132,7.5,131,7.5,140,8,130,7.4,129,7.3,125,7.1,123,7,90,5.1,0,0,89,5.1,128,7.3,97,5.5,1484,84.4,2,0.1,71,4,319,18.1,1,0.1,1030,58.6,130,7.4,10,0.6,635,36.1,253,14.4,9,8.6999999999999993,24,23.3
'008901,2,1.2,0,0,0,0,128,75.7,41,24.3,169,100,1,0,3,0.3,13,7.7,28,16.600000000000001,0,0,176,8.8000000000000007,6.3,1.4,2.9,0,0,0.6,3.1,2.8,3.6,0,0,0,0,0,0,0,0,29.4,2121,5,0.2,172,8.1,227,10.7,28,1.3,971,45.8,167,7.9,151,7.1,156,7.4,155,7.3,182,8.6,157,7.4,189,8.9,152,7.2,169,8,145,6.8,140,6.6,151,7.1,5,0.2,235,11.1,154,7.3,48,2.3,578,27.3,7,0.3,174,8.2,1150,54.2,0,0,937,44.2,169,8,55,2.6,558,26.3,1249,58.9,18,10.7,126,74.599999999999994
'008902,2,1,0,0,0,0,162,82.2,35,17.8,197,100,0,0,12,0.9,28,14.2,76,38.6,0,0,278,11,5.6,5.8,3.3,1.1000000000000001,3.3,0,0.4,0,1.5,0,6.7,6.3,0,7.7,0,0,0,10.5,2766,8,0.3,323,11.7,277,10,27,0.9,1536,55.5,222,8,181,6.5,176,6.4,197,7.1,218,7.9,189,6.8,210,7.6,243,8.8,212,7.7,224,8.1,176,6.4,180,6.5,8,0.3,154,5.6,217,7.8,113,4.1,1296,46.9,6,0.2,328,11.9,1230,44.5,2,0.1,1318,47.7,221,8,49,1.8,558,20.2,1128,40.8,19,9.6,91,46.2
'008903,0,0,0,0,0,0,36,75,12,25,48,100,0,0,1,0.3,7,14.6,23,47.9,0,0,119,14.7,3.6,2.8,8.8000000000000007,0,6.6,5.4,1.7,6.6,5.0999999999999996,16.7,33.299999999999997,0,.,0,0,0,0,0,822,6,0.7,95,11.6,75,9.1,18,2,464,56.4,61,7.4,63,7.7,72,8.8,51,6.2,52,6.3,66,8,54,6.6,64,7.8,60,7.3,64,7.8,59,7.2,55,6.7,0,0,19,2.3,68,8.3,33,4,408,49.6,0,0,98,11.9,358,43.6,0,0,313,38.1,43,5.2,19,2.3,215,26.2,314,38.2,6,12.5,18,37.5
'009901,0,0,1,1.1000000000000001,0,0,72,82.8,15,17.2,87,100,0,0,2,0.3,1,1.1000000000000001,69,79.3,0,0,200,14.5,3.7,4.5,0,0,1.1000000000000001,0,0,0,0.9,0,0,0,0,0,0,0,0,22.2,1461,9,0.6,273,18.7,4,0.3,27,1.7,1232,84.3,121,8.3,116,7.9,116,7.9,108,7.4,101,6.9,103,7,117,8,108,7.4,87,6,97,6.6,97,6.6,70,4.8,13,0.9,39,2.7,113,7.7,94,6.4,1198,82,0,0,278,19,229,15.7,0,0,840,57.5,149,10.2,1,0.1,323,22.1,249,17,7,8,16,18.399999999999999
'010901,0,0,0,0,0,0,16,53.3,14,46.7,30,100,0,0,1,0.6,1,3.3,8,26.7,0,0,71,25.1,18.2,7.1,0,0,0,0,0,6.7,0,16.7,0,0,0,0,0,0,0,66.7,270,0,0,16,5.9,4,1.5,7,2.1,151,55.9,13,4.8,16,5.9,16,5.9,21,7.8,13,4.8,18,6.7,26,9.6,20,7.4,18,6.7,33,12.2,16,5.9,20,7.4,0,0,16,5.9,26,9.6,14,5.2,71,26.3,1,0.4,19,7,119,44.1,0,0,100,37,29,10.7,6,2.2,76,28.1,188,69.6,7,23.3,21,70
'010902,6,3.6,1,0.6,0,0,132,78.599999999999994,36,21.4,168,100,0,0,0,0,0,0,39,23.2,3,1.8,395,16.7,6.1,2,7.8,0,0.8,0.6,0.6,0,0.7,6.7,5.6,4.5,0,0,0,0,0,15,2369,12,0.5,89,3.8,12,0.5,61,2.2999999999999998,1211,51.1,174,7.3,148,6.2,187,7.9,152,6.4,173,7.3,161,6.8,181,7.6,178,7.5,191,8.1,195,8.2,169,7.1,170,7.2,6,0.3,140,5.9,168,7.1,116,4.9,726,30.6,14,0.6,90,3.8,1158,48.9,1,0,1027,43.4,229,9.7,35,1.5,631,26.6,1569,66.2,13,7.7,119,70.8
'011901,7,1.1000000000000001,1,0.2,1,0.2,444,72,173,28,617,100,0,0,0,0,52,8.4,286,46.4,1,0.2,1845,19.600000000000001,5.7,3.5,1.7,1.4,1,0.2,0,1,3.3,11.9,4.5999999999999996,0,1.3,0.9,0,2.2999999999999998,2.5,7.8,9546,55,0.6,1902,19.9,513,5.4,322,3.2,6531,68.4,727,7.6,735,7.7,728,7.6,722,7.6,716,7.5,726,7.6,719,7.5,760,8,864,9.1,715,7.5,589,6.2,515,5.4,22,0.2,744,7.8,643,6.7,365,3.8,5527,57.9,46,0.5,2068,21.7,3015,31.6,3,0,5848,61.3,1032,10.8,244,2.6,1495,15.7,3158,33.1,76,12.3,269,43.6
'011902,7,2.9,1,0.4,0,0,204,85.4,35,14.6,239,100,0,0,10,0.5,35,14.6,105,43.9,0,0,640,16.100000000000001,3.6,5.7,4.9000000000000004,3.7,3.6,1.1000000000000001,0.7,0.8,5.3,0,0,0,0,0,0,2.9,0,14.3,4178,16,0.4,778,18.6,533,12.8,122,2.7,2997,71.7,295,7.1,306,7.3,294,7,302,7.2,269,6.4,297,7.1,321,7.7,311,7.4,360,8.6,331,7.9,314,7.5,275,6.6,9,0.2,361,8.6,302,7.2,192,4.6,2373,56.8,8,0.2,793,19,1181,28.3,2,0,2520,60.3,358,8.6,99,2.4,937,22.4,1147,27.5,23,9.6,91,38.1
'011904,2,1.3,0,0,0,0,116,73,43,27,159,100,0,0,3,0.3,18,11.3,32,20.100000000000001,0,0,214,12.5,0.8,1.7,0,0,1,1.4,0.9,0.8,1,0,0,0,0,5.6,0,0,9.1,14.3,1799,7,0.4,73,4.1,141,7.8,44,2.2999999999999998,1049,58.3,118,6.6,124,6.9,136,7.6,120,6.7,135,7.5,135,7.5,148,8.2,124,6.9,149,8.3,142,7.9,118,6.6,131,7.3,1,0.1,127,7.1,132,7.3,86,4.8,480,26.7,9,0.5,74,4.1,750,41.7,2,0.1,770,42.8,160,8.9,60,3.3,426,23.7,1100,61.1,16,10.1,107,67.3
'011905,.,.,.,.,.,.,.,.,.,.,.,.,1,0.5,1,2.8,.,.,.,.,.,.,21,11.5,6.9,14.3,0,0,11.8,0,0,0,0,0,0,.,0,0,0,0,0,.,210,0,0,53,25.2,1,0.5,0,0,156,74.3,30,14.3,30,14.3,15,7.1,24,11.4,22,10.5,14,6.7,15,7.1,14,6.7,0,0,0,0,0,0,0,0,0,0,8,3.8,23,11,23,11,113,53.8,0,0,56,26.7,54,25.7,0,0,133,63.3,14,6.7,1,0.5,0,0,95,45.2,.,.,.,.
'012901,2,5.6,0,0,0,0,26,72.2,10,27.8,36,100,1,0.2,0,0,1,2.8,7,19.399999999999999,0,0,69,12.6,0,2.6,2.9,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0,28.6,570,2,0.4,0,0,13,2.3,1,0.2,303,53.2,40,7,43,7.5,52,9.1,43,7.5,45,7.9,37,6.5,46,8.1,40,7,49,8.6,39,6.8,39,6.8,28,4.9,3,0.5,21,3.7,35,6.1,31,5.4,114,20,3,0.5,0,0,267,46.8,0,0,178,31.2,62,10.9,19,3.3,155,27.2,419,73.5,4,11.1,26,72.2
'013801,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,.,.,.,.,.,.,.,34,9.1,15.9,3.8,8.3000000000000007,8.1999999999999993,7,0,.,.,9.1,0,16.7,0,.,14.3,0,.,.,25,434,13,3,2,0.5,5,1.2,0,0,333,76.7,76,17.5,68,15.7,67,15.4,64,14.7,47,10.8,40,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.7,72,16.6,0,0,350,80.6,0,0,2,0.5,101,23.3,0,0,206,47.5,30,6.9,4,0.9,0,0,62,14.3,.,.,.,.
'013901,0,0,1,0.4,0,0,250,99.6,1,0.4,251,100,0,0,0,0,7,2.8,193,76.900000000000006,0,0,648,19.100000000000001,13.2,1.4,3.3,2.2000000000000002,1.9,0.9,0.4,1.2,3.9,20.6,0,4.3,0,3.1,6.5,0,5,9.5,3364,14,0.4,96,2.9,72,2.1,73,1.9,2500,74.3,281,8.4,234,7,233,6.9,225,6.7,257,7.6,247,7.3,290,8.6,262,7.8,331,9.8,252,7.5,186,5.5,174,5.2,7,0.2,196,5.8,256,7.6,129,3.8,2788,82.9,8,0.2,119,3.5,864,25.7,2,0.1,2206,65.6,311,9.2,23,0.7,1078,32,457,13.6,27,10.8,50,19.899999999999999
'013902,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,21,15.1,0,0,0,0,7.7,0,0,0,0,.,0,0,.,0,0,0,0,.,164,0,0,1,0.6,0,0,0,0,89,54.3,18,11,18,11,12,7.3,20,12.2,20,12.2,15,9.1,14,8.5,18,11,0,0,0,0,0,0,0,0,0,0,7,4.3,16,9.8,13,7.9,127,77.4,0,0,1,0.6,75,45.7,0,0,62,37.8,15,9.1,2,1.2,0,0,35,21.3,.,.,.,.
'013903,0,0,0,0,0,0,14,51.9,13,48.1,27,100,0,0,0,0,1,3.7,18,66.7,0,0,86,20.399999999999999,9.5,0,0,8.6999999999999993,0,0,0,6.3,15,0,0,0,50,20,0,0,0,14.3,438,1,0.2,3,0.7,10,2.3,10,2.1,262,59.8,32,7.3,26,5.9,28,6.4,26,5.9,29,6.6,28,6.4,40,9.1,41,9.4,43,9.8,33,7.5,37,8.4,23,5.3,0,0,19,4.3,37,8.4,15,3.4,273,62.3,0,0,3,0.7,176,40.2,0,0,269,61.4,56,12.8,8,1.8,136,31.1,146,33.3,5,18.5,8,29.6
'013905,1,1.4,0,0,0,0,64,91.4,6,8.6,70,100,2,0.2,0,0,2,2.9,37,52.9,0,0,106,13,8.5,7.3,4.9000000000000004,0,2,0,0,0,0,25,0,0,0,0,0,0,0,50,789,4,0.5,11,1.4,8,1,11,1.2,440,55.8,54,6.8,50,6.3,62,7.9,51,6.5,61,7.7,60,7.6,73,9.3,71,9,66,8.4,61,7.7,60,7.6,60,7.6,0,0,38,4.8,60,7.6,0,0,512,64.9,7,0.9,11,1.4,349,44.2,2,0.3,336,42.6,81,10.3,2,0.3,239,30.3,254,32.2,4,5.7,30,42.9
'014801,3,4.8,1,1.6,0,0,23,36.5,40,63.5,63,100,0,0,0,0,23,36.5,13,20.6,0,0,258,78.900000000000006,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,132,1,0.8,1,0.8,49,37.1,0,0,90,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30.3,36,27.3,33,25,23,17.4,0,0,0,0,0,0,0,0,45,34.1,0,0,1,0.8,42,31.8,2,1.5,111,84.1,23,17.4,6,4.5,37,28,29,22,8,12.7,23,36.5
