DISTRICT,DAUND18C,DAUND18R,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRA9R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSA9R,DPERSAKR,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSAUC,DPETSAUP,DPETSBHC,DPETSBHP,DPETSIMC,DPETSINC,DPETSINP,DPETSNOC,DPETSNOP,DPETSPEC,DPETSPEP,DPETSPHC,DPETSPHP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
'001902,0,0,79,13.7,9.8000000000000007,2.7,2.2000000000000002,7.3,0,0,0,0,4.9000000000000004,4.3,0,0,0,0,0,0,0,0,0,25,40,7.1,564,3,0.5,1,0.2,20,3.5,5,0.8,28,5,240,42.6,26,4.6,46,8.2,45,8,49,8.7,49,8.7,35,6.2,43,7.6,41,7.3,54,9.6,40,7.1,35,6.2,50,8.9,0,0,48,8.5,38,6.7,13,2.3,38,6.7,0,0,1,0.2,324,57.4,0,0,235,41.7,-1,-1,-3,-3,84,64,76.2,0,0,84,14.9,12,14.3,25,4.4,174,30.9,478,84.8
'001903,1,0.2,209,17.4,14.1,1.3,0,0,3,0,2.6,1.2,3,10.6,18.2,0,0,11.1,0,0,0,0,5.6,40,67,5.3,1254,4,0.3,26,2.1,68,5.4,10,0.7,55,4.4,728,58.1,98,7.8,82,6.5,99,7.9,95,7.6,83,6.6,78,6.2,90,7.2,94,7.5,87,6.9,109,8.7,99,7.9,82,6.5,0,0,45,3.6,91,7.3,67,5.3,142,11.3,7,0.6,29,2.3,526,41.9,2,0.2,356,28.4,14,10.4,28,20.9,134,69,51.5,0,0,134,10.7,23,17.2,51,4.1,402,32.1,980,78.1
'001904,3,0.7,111,13.2,0,0,0,0,0,1.8,0,4.4000000000000004,1.9,6.5,0,0,0,0,0,0,0,12.5,20,0,86,10.7,803,8,1,23,2.9,66,8.2,5,0.5,47,5.9,431,53.7,40,5,51,6.4,54,6.7,75,9.3,62,7.7,58,7.2,61,7.6,75,9.3,64,8,49,6.1,60,7.5,55,6.8,3,0.4,71,8.8,62,7.7,34,4.2,66,8.2,5,0.6,23,2.9,372,46.3,0,0,310,38.6,10,10.9,27,29.3,92,45,48.9,-1,-1,92,11.5,-3,-3,30,3.7,257,32,628,78.2
'001906,0,0,56,16.1,0,0,0,0,0,0,0,0,4.8,5.6,0,0,33.299999999999997,0,0,0,0,0,0,0,25,6.8,366,0,0,7,1.9,31,8.5,0,0,7,1.9,175,47.8,25,6.8,35,9.6,26,7.1,28,7.7,25,6.8,29,7.9,28,7.7,29,7.9,27,7.4,23,6.3,32,8.7,25,6.8,0,0,22,6,23,6.3,11,3,51,13.9,1,0.3,7,1.9,191,52.2,0,0,97,26.5,-1,-1,-1,-1,32,22,68.8,-1,-1,32,8.7,6,18.8,15,4.1,160,43.7,268,73.2
'001907,0,0,413,12.8,4.0999999999999996,0.5,0,0,1.3,0.5,0,0.5,8.3000000000000007,6.4,3.8,0,4.3,0,0,0,0,0,11.1,8.6999999999999993,196,5.8,3389,31,0.9,559,16.5,902,26.6,125,3.4,76,2.2,2540,74.9,249,7.3,240,7.1,222,6.6,253,7.5,245,7.2,258,7.6,257,7.6,262,7.7,295,8.7,237,7,245,7.2,207,6.1,5,0.1,97,2.9,245,7.2,169,5,1397,41.2,3,0.1,604,17.8,849,25.1,2,0.1,1979,58.4,-3,-3,95,26.2,362,160,44.2,-1,-1,362,10.7,53,14.6,121,3.6,1071,31.6,933,27.5
'001908,1,0.1,229,15.2,2.6,1,1.1000000000000001,0.9,6,0,0,0.9,2.9,8.1999999999999993,0,7.7,5,0,0,5,0,0,7.7,12.5,92,6.1,1518,9,0.6,84,5.5,260,17.1,25,1.5,48,3.2,933,61.5,102,6.7,126,8.3,103,6.8,118,7.8,132,8.7,93,6.1,119,7.8,118,7.8,129,8.5,105,6.9,114,7.5,70,4.6,6,0.4,36,2.4,114,7.5,69,4.5,383,25.2,12,0.8,88,5.8,585,38.5,0,0,855,56.3,15,8.1,21,11.3,186,120,64.5,6,3.2,186,12.3,24,12.9,55,3.6,406,26.7,799,52.6
'001909,0,0,51,13.2,7.7,0,7.4,0,0,5,0,0,9.5,2.9,33.299999999999997,25,50,0,0,0,0,0,0,0,10,2.5,406,3,0.7,4,1,8,2,3,0.7,0,0,186,45.8,38,9.4,30,7.4,30,7.4,26,6.4,26,6.4,36,8.9,26,6.4,33,8.1,35,8.6,30,7.4,29,7.1,21,5.2,0,0,21,5.2,34,8.4,12,3,26,6.4,1,0.2,4,1,220,54.2,0,0,124,30.5,-1,-1,5,10,50,32,64,-1,-1,50,12.3,10,20,14,3.4,160,39.4,354,87.2
'002901,0,0,563,14.3,3.5,0.7,0,1.1000000000000001,0.9,0,0.4,0.7,6.6,4.5999999999999996,0,0,2.8,0,0,0,0,0,8.6,5.6,230,5.3,4314,17,0.4,606,14,36,0.8,59,1.3,97,2.2,1767,41,347,8,309,7.2,300,7,346,8,328,7.6,381,8.8,311,7.2,335,7.8,351,8.1,318,7.4,257,6,257,6,11,0.3,233,5.4,361,8.4,102,2.4,2912,67.5,21,0.5,523,12.1,2547,59,1,0,1751,40.6,26,7.5,68,19.7,346,191,55.2,7,2,346,8,54,15.6,72,1.7,936,21.7,1255,29.1
'003801,2,0.5,77,8.7,0,1.4,0,0,0,0,0,0,1.8,1.4,0,0,0,0,0,0,0,0,0,0,65,6.4,1022,15,1.5,49,4.8,154,15.1,0,0,45,4.4,521,51,81,7.9,80,7.8,81,7.9,88,8.6,84,8.2,93,9.1,79,7.7,85,8.3,75,7.3,54,5.3,66,6.5,56,5.5,0,0,96,9.4,72,7,28,2.7,278,27.2,0,0,49,4.8,501,49,1,0.1,296,29,10,12.2,6,7.3,82,52,63.4,0,0,82,8,14,17.1,33,3.2,150,14.7,541,52.9
'003902,0,0,370,13.1,7.2,6,1.5,2.5,0.9,0.5,1.4,0.5,3.6,2.8,15,5.9,4.5,11.8,4.2,3.7,0,0,11.1,5,194,6.6,2957,21,0.7,170,5.7,224,7.6,55,1.8,131,4.4,1609,54.4,227,7.7,218,7.4,196,6.6,232,7.8,213,7.2,248,8.4,226,7.6,232,7.8,230,7.8,214,7.2,200,6.8,208,7,3,0.1,157,5.3,203,6.9,107,3.6,756,25.6,22,0.7,180,6.1,1348,45.6,0,0,1174,39.7,-3,-3,36,14.2,253,120,47.4,-1,-1,253,8.6,65,25.7,72,2.4,947,32,1862,63
'003903,26,0.7,1336,17.6,11,3.9,0.8,0.4,0,0.6,0.6,0.2,3.4,3.5,4,2.5,0,0,2.2000000000000002,0,1.5,0,5.8,5.0999999999999996,479,6.1,7827,90,1.1,1943,24.8,2269,29,325,3.7,380,4.9,6041,77.2,605,7.7,515,6.6,551,7,536,6.8,585,7.5,614,7.8,556,7.1,549,7,625,8,530,6.8,536,6.8,483,6.2,20,0.3,896,11.4,547,7,575,7.3,3253,41.6,14,0.2,1456,18.6,1786,22.8,5,0.1,4839,61.8,104,12.3,142,16.7,848,421,49.6,10,1.2,848,10.8,171,20.2,210,2.7,1921,24.5,1986,25.4
'003904,4,0.5,297,17.2,7.3,4.8,3,0.9,1.8,0,2.2000000000000002,0,1,5.4,0,0,0,0,0,0,4.2,0,0,10,152,9.2,1659,7,0.4,18,1.1,45,2.7,36,1.9,108,6.5,929,56,100,6,116,7,119,7.2,115,6.9,129,7.8,133,8,145,8.7,119,7.2,150,9,122,7.4,129,7.8,129,7.8,6,0.4,73,4.4,122,7.4,25,1.5,114,6.9,8,0.5,18,1.1,730,44,0,0,734,44.2,-3,-3,16,8.7,184,125,67.9,-1,-1,184,11.1,24,13,49,3,579,34.9,1436,86.6
'003905,12,1.5,205,12.1,3.5,2.7,0.9,0,0,0,0,0,1.9,0.8,0,0,0,0,0,0,0,0,0,12.5,128,6.8,1870,6,0.3,310,16.6,236,12.6,21,1,74,4,1475,78.9,139,7.4,120,6.4,115,6.1,127,6.8,147,7.9,147,7.9,143,7.6,139,7.4,138,7.4,118,6.3,135,7.2,114,6.1,0,0,68,3.6,123,6.6,165,8.8,970,51.9,2,0.1,302,16.1,395,21.1,0,0,1042,55.7,16,8.3,44,22.9,192,99,51.6,8,4.2,192,10.3,25,13,35,1.9,495,26.5,621,33.2
'003906,0,0,69,18.6,13,4,3.7,5.6,0,4.3,0,0,3.8,4.5,20,0,0,0,0,0,0,0,0,50,40,11.1,360,0,0,0,0,2,0.6,1,0.2,12,3.3,243,67.5,26,7.2,25,6.9,28,7.8,30,8.3,22,6.1,30,8.3,24,6.7,20,5.6,26,7.2,37,10.3,29,8.1,24,6.7,0,0,19,5.3,18,5,21,5.8,12,3.3,0,0,0,0,117,32.5,0,0,125,34.7,-1,-1,-1,-1,47,29,61.7,0,0,47,13.1,10,21.3,21,5.8,122,33.9,325,90.3
'003907,1,0.1,216,14.9,7.8,14.8,2.9,0,0,0,1.2,1.2,5.3,12,9.1,4,0,0,0,0,7.1,10,0,25,78,5.3,1465,1,0.1,51,3.5,65,4.4,43,2.6,20,1.4,865,59,117,8,129,8.8,105,7.2,118,8.1,105,7.2,97,6.6,128,8.7,91,6.2,100,6.8,103,7,107,7.3,94,6.4,4,0.3,68,4.6,109,7.4,58,4,308,21,2,0.1,52,3.5,600,41,0,0,551,37.6,28,13.9,46,22.9,201,93,46.3,5,2.5,201,13.7,29,14.4,44,3,478,32.6,1045,71.3
'004901,0,0,1035,31.8,1.1000000000000001,3.7,1.3,0,0,1.1000000000000001,0,0,5.4,1.8,4.5,8.3000000000000007,0,0,4.3,0,0,0,14.3,20,245,8.7,2826,62,2.2,142,5,27,1,68,1.9,159,5.6,1899,67.2,196,6.9,224,7.9,219,7.7,191,6.8,239,8.5,211,7.5,220,7.8,217,7.7,263,9.3,185,6.5,216,7.6,194,6.9,2,0.1,142,5,170,6,79,2.8,1204,42.6,9,0.3,142,5,927,32.8,4,0.1,1671,59.1,39,13.6,44,15.4,286,167,58.4,-1,-1,286,10.1,-3,-3,85,3,812,28.7,1435,50.8
'005901,0,0,49,10.7,0,0,0,0,0,0,0,0,0,8.6999999999999993,0,0,0,0,0,0,0,0,0,0,61,12.1,505,3,0.6,8,1.6,4,0.8,6,1.2,37,7.3,270,53.5,31,6.1,33,6.5,29,5.7,35,6.9,35,6.9,41,8.1,35,6.9,37,7.3,55,10.9,40,7.9,36,7.1,28,5.5,0,0,33,6.5,35,6.9,35,6.9,69,13.7,4,0.8,8,1.6,235,46.5,0,0,173,34.3,6,8.8,18,26.5,68,29,42.6,0,0,68,13.5,15,22.1,14,2.8,228,45.1,411,81.4
'005902,0,0,77,8,0,1.7,0,0,0,1.3,1.2,0,1.4,1.5,0,20,0,0,0,0,0,0,0,14.3,119,11.4,1046,1,0.1,3,0.3,5,0.5,5,0.5,63,6,219,20.9,76,7.3,73,7,67,6.4,82,7.8,84,8,69,6.6,86,8.2,94,9,82,7.8,76,7.3,85,8.1,76,7.3,6,0.6,66,6.3,74,7.1,16,1.5,88,8.4,6,0.6,3,0.3,827,79.1,1,0.1,268,25.6,-3,-3,14,14.7,95,38,40,-1,-1,95,9.1,28,29.5,26,2.5,294,28.1,919,87.9
'005904,0,0,10,2.6,0,0,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,0,0,51,12.7,403,0,0,27,6.7,0,0,0,0,24,6,161,40,31,7.7,27,6.7,24,6,29,7.2,29,7.2,33,8.2,31,7.7,28,6.9,33,8.2,28,6.9,35,8.7,39,9.7,0,0,40,9.9,22,5.5,14,3.5,111,27.5,3,0.7,27,6.7,242,60,0,0,118,29.3,5,14.7,7,20.6,34,15,44.1,0,0,34,8.4,7,20.6,1,0.2,153,38,288,71.5
'006902,0,0,46,13.2,8.6999999999999993,5.3,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,17,4.7,358,0,0,4,1.1,3,0.8,5,1.2,22,6.1,146,40.8,29,8.1,29,8.1,25,7,28,7.8,27,7.5,31,8.7,22,6.1,31,8.7,23,6.4,21,5.9,19,5.3,24,6.7,0,0,14,3.9,31,8.7,18,5,45,12.6,4,1.1,4,1.1,212,59.2,0,0,131,36.6,-1,-1,9,23.7,38,21,55.3,0,0,38,10.6,-3,-3,6,1.7,128,35.8,300,83.8
'007901,2,0.8,89,18.2,3.2,3.3,0,0,3.2,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,469,1,0.2,24,5.1,0,0,7,1.3,0,0,347,74,25,5.3,33,7,28,6,40,8.5,35,7.5,30,6.4,30,6.4,33,7,37,7.9,35,7.5,37,7.9,36,7.7,1,0.2,26,5.5,32,6.8,37,7.9,411,87.6,1,0.2,25,5.3,122,26,0,0,324,69.1,6,9.7,5,8.1,62,38,61.3,0,0,62,13.2,13,21,0,0,123,26.2,56,11.9
'007902,5,0.6,329,20.1,7.1,4,4.0999999999999996,0,0,1.9,0,0,0,1.6,5.3,0,0,0,0,0,0,0,7.1,23.1,174,10.8,1606,5,0.3,37,2.3,15,0.9,26,1.4,60,3.7,867,54,143,8.9,132,8.2,121,7.5,115,7.2,128,8,122,7.6,115,7.2,121,7.5,111,6.9,106,6.6,118,7.3,89,5.5,6,0.4,70,4.4,125,7.8,54,3.4,975,60.7,3,0.2,38,2.4,739,46,1,0.1,765,47.6,11,6.8,30,18.5,162,81,50,7,4.3,162,10.1,33,20.4,17,1.1,405,25.2,590,36.7
'007904,1,0.1,275,16.7,0.9,0,0,0,0,0,0,0,3.7,4.3,0,0,0,0,0,0,0,0,0,0,97,5.6,1724,2,0.1,201,11.7,11,0.6,39,2.1,0,0,1278,74.1,132,7.7,116,6.7,121,7,130,7.5,124,7.2,138,8,125,7.3,138,8,138,8,106,6.1,109,6.3,111,6.4,0,0,54,3.1,134,7.8,102,5.9,1383,80.2,4,0.2,209,12.1,446,25.9,3,0.2,915,53.1,-3,-3,27,19.9,136,43,31.6,-1,-1,136,7.9,51,37.5,11,0.6,500,29,310,18
'007905,3,0.2,553,15.9,0.4,1.4,0.8,0.4,0,1.4,0.9,0,4.2,0.5,0,0,0,0,0,0,0,0,0,0,530,14.9,3555,16,0.5,123,3.5,15,0.4,83,2.1,261,7.3,2206,62.1,230,6.5,277,7.8,247,6.9,298,8.4,261,7.3,294,8.3,250,7,250,7,297,8.4,265,7.5,240,6.8,235,6.6,14,0.4,144,4.1,247,6.9,150,4.2,2473,69.6,8,0.2,129,3.6,1349,37.9,2,0.1,1820,51.2,32,9,48,13.5,355,176,49.6,13,3.7,355,10,86,24.2,40,1.1,1051,29.6,1001,28.2
'007906,10,1.2,280,16.6,4.5,0.8,0,0,0,0,1.8,1.9,3.3,0,0,0,0,0,0,0,0,0,12.5,0,169,10,1695,3,0.2,131,7.7,5,0.3,55,2.9,98,5.8,1346,79.4,119,7,121,7.1,137,8.1,130,7.7,123,7.3,130,7.7,128,7.6,125,7.4,123,7.3,124,7.3,113,6.7,122,7.2,5,0.3,67,4,130,7.7,65,3.8,1465,86.4,1,0.1,96,5.7,349,20.6,0,0,1063,62.7,-3,-3,29,19.6,148,84,56.8,-1,-1,148,8.7,21,14.2,8,0.5,510,30.1,213,12.6
'008901,0,0,151,7.1,1.6,0,1.2,0.7,0,0,0,0,5.9,3.6,6.3,0,0,0,0,0,0,0,5.9,11.1,227,10.2,2221,13,0.6,185,8.3,206,9.3,31,1.3,99,4.5,1100,49.5,154,6.9,144,6.5,172,7.7,180,8.1,164,7.4,171,7.7,172,7.7,175,7.9,187,8.4,189,8.5,170,7.7,168,7.6,8,0.4,248,11.2,133,6,34,1.5,667,30,3,0.1,187,8.4,1121,50.5,1,0,949,42.7,23,10.6,47,21.8,216,91,42.1,9,4.2,216,9.7,46,21.3,40,1.8,699,31.5,1291,58.1
'008902,6,0.5,267,10.1,5.9,1.6,1.1000000000000001,0,0,0,1.3,0.5,3.8,0.5,7.7,5.6,0,0,0,0,0,0,11.1,5.9,231,8.4,2751,26,0.9,382,13.9,228,8.3,25,0.8,171,6.2,1636,59.5,228,8.3,195,7.1,205,7.5,209,7.6,238,8.7,224,8.1,197,7.2,186,6.8,223,8.1,223,8.1,190,6.9,168,6.1,2,0.1,132,4.8,180,6.5,83,3,1389,50.5,4,0.1,406,14.8,1115,40.5,0,0,1310,47.6,29,10.8,54,20.1,268,116,43.3,5,1.9,268,9.7,64,23.9,74,2.7,758,27.6,1030,37.4
'008903,0,0,173,20.5,0,0,2.2000000000000002,0,0,0,0,0,9.1,7.7,40,0,0,0,0,0,0,0,16.7,0,74,9,825,3,0.4,122,14.8,75,9.1,5,0.5,55,6.7,529,64.1,47,5.7,40,4.8,60,7.3,55,6.7,65,7.9,67,8.1,68,8.2,87,10.5,81,9.8,62,7.5,72,8.7,46,5.6,1,0.1,31,3.8,50,6.1,24,2.9,434,52.6,0,0,128,15.5,296,35.9,0,0,275,33.3,-3,-3,34,37,92,37,40.2,-1,-1,92,11.2,14,15.2,19,2.3,223,27,294,35.6
'009901,0,0,180,13.2,2.8,4.7,0,0,0,0,0,0,3.1,1.2,0,5.9,0,0,0,0,0,0,0,0,33,2.3,1414,6,0.4,327,23.1,8,0.6,30,1.9,11,0.8,1217,86.1,103,7.3,125,8.8,90,6.4,117,8.3,112,7.9,115,8.1,110,7.8,115,8.1,94,6.6,86,6.1,85,6,98,6.9,11,0.8,25,1.8,91,6.4,62,4.4,1199,84.8,1,0.1,330,23.3,197,13.9,0,0,898,63.5,6,3.1,14,7.3,191,134,70.2,16,8.4,191,13.5,21,11,4,0.3,378,26.7,196,13.9
'010901,0,0,82,27.2,5.9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,50,36,11.8,306,0,0,5,1.6,4,1.3,7,1.9,13,4.2,189,61.8,25,8.2,20,6.5,21,6.9,18,5.9,18,5.9,18,5.9,23,7.5,20,6.5,24,7.8,23,7.5,23,7.5,24,7.8,0,0,32,10.5,20,6.5,29,9.5,87,28.4,0,0,5,1.6,117,38.2,0,0,174,56.9,-1,-1,8,21.6,37,15,40.5,-1,-1,37,12.1,10,27,9,2.9,92,30.1,206,67.3
'010902,7,0.6,355,16,7.2,3.4,1.4,1.3,0,0.6,0.7,0,19.600000000000001,2.6,4.5,8.3000000000000007,4,0,0,0,0,0,11.8,0,150,6.7,2230,8,0.4,93,4.2,8,0.4,64,2.6,44,2,1192,53.5,152,6.8,151,6.8,141,6.3,160,7.2,176,7.9,169,7.6,187,8.4,174,7.8,207,9.3,133,6,163,7.3,137,6.1,6,0.3,119,5.3,168,7.5,106,4.8,755,33.9,4,0.2,97,4.3,1038,46.5,2,0.1,585,26.2,20,7.2,62,22.2,279,126,45.2,9,3.2,279,12.5,62,22.2,55,2.5,749,33.6,1398,62.7
'011901,0,0,1798,16.6,1.6,0.9,0.3,0.6,0.4,0,0.4,0.3,10.1,1.5,2.2000000000000002,2.5,0.9,0,0.9,0,0,0,22.4,3.1,1156,10.5,11043,46,0.4,2969,26.9,409,3.7,292,2.5,1336,12.1,7785,70.5,700,6.3,799,7.2,776,7,833,7.5,845,7.7,910,8.2,896,8.1,844,7.6,957,8.7,889,8.1,818,7.4,692,6.3,35,0.3,698,6.3,675,6.1,374,3.4,7447,67.4,20,0.2,3075,27.8,3258,29.5,10,0.1,7141,64.7,103,8.6,204,17,1199,581,48.5,11,0.9,1199,10.9,300,25,321,2.9,2824,25.6,2790,25.3
'011902,6,0.3,634,15.1,4,2.6,1.4,0,0,0,0,0,4,4.2,0,0,0,0,0,0,0,0,6.3,4.2,415,9.4,4438,17,0.4,1505,33.9,494,11.1,123,2.6,213,4.8,3432,77.3,266,6,300,6.8,303,6.8,311,7,329,7.4,369,8.3,339,7.6,315,7.1,364,8.2,334,7.5,318,7.2,319,7.2,9,0.2,376,8.5,317,7.1,245,5.5,3030,68.3,5,0.1,1381,31.1,1006,22.7,3,0.1,3220,72.6,40,8.8,72,15.8,456,228,50,5,1.1,456,10.3,111,24.3,102,2.3,1485,33.5,787,17.7
'011904,1,0.1,194,11.4,4.3,2.4,0.8,0,0.8,0,0.9,0,4.3,1.7,0,0,0,0,0,0,0,0,0,0,167,9.3,1800,14,0.8,126,7,129,7.2,55,2.9,86,4.8,1060,58.9,134,7.4,127,7.1,101,5.6,141,7.8,145,8.1,140,7.8,145,8.1,139,7.7,147,8.2,140,7.8,129,7.2,131,7.3,4,0.2,132,7.3,115,6.4,62,3.4,574,31.9,4,0.2,128,7.1,740,41.1,0,0,904,50.2,19,9.9,38,19.8,192,78,40.6,8,4.2,192,10.7,49,25.5,76,4.2,443,24.6,1003,55.7
'011905,1,1.2,22,8,0,8.6999999999999993,0,3,3.2,0,0,0,0,0,0,0,0,.,100,0,0,0,0,0,24,6.3,382,0,0,60,15.7,5,1.3,0,0,19,5,233,61,32,8.4,32,8.4,27,7.1,39,10.2,36,9.4,32,8.4,34,8.9,19,5,22,5.8,16,4.2,17,4.5,7,1.8,0,0,31,8.1,38,9.9,31,8.1,180,47.1,0,0,60,15.7,149,39,0,0,135,35.3,-1,-1,7,19.4,36,13,36.1,-1,-1,36,9.4,13,36.1,3,0.8,63,16.5,194,50.8
'012901,0,0,61,11.2,8.1,2.8,5.0999999999999996,0,0,2.6,0,0,2.6,11.1,16.7,0,0,0,50,0,0,0,0,16.7,95,16.3,582,2,0.3,1,0.2,8,1.4,1,0.2,37,6.4,338,58.1,52,8.9,43,7.4,46,7.9,43,7.4,46,7.9,37,6.4,46,7.9,47,8.1,38,6.5,42,7.2,37,6.4,35,6,0,0,18,3.1,54,9.3,16,2.7,113,19.4,0,0,1,0.2,244,41.9,0,0,199,34.2,15,20.3,12,16.2,74,21,28.4,0,0,74,12.7,26,35.1,28,4.8,151,25.9,431,74.1
'013801,0,0,34,8.7,8.1,2.1,3.4,1.5,0,0,.,.,.,8.3000000000000007,0,0,0,0,0,0,.,.,.,42.9,16,3.7,430,10,2.3,7,1.6,7,1.6,0,0,6,1.4,355,82.6,67,15.6,67,15.6,49,11.4,59,13.7,71,16.5,48,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,69,16,0,0,341,79.3,0,0,7,1.6,75,17.4,0,0,216,50.2,-1,-1,5,14.3,35,-3,-3,0,0,35,8.1,21,60,9,2.1,0,0,63,14.7
'013901,2,0.1,488,15.2,8.6,6.5,5,1.9,1,0.5,0.4,3,11.2,8.8000000000000007,27.8,3.4,0,0,0,3.7,0,5,23.7,21.1,171,5.2,3305,9,0.3,63,1.9,91,2.8,106,2.9,27,0.8,2793,84.5,211,6.4,208,6.3,210,6.4,227,6.9,239,7.2,237,7.2,282,8.5,294,8.9,287,8.7,270,8.2,234,7.1,234,7.1,4,0.1,132,4,212,6.4,156,4.7,2759,83.5,0,0,79,2.4,512,15.5,3,0.1,1919,58.1,36,10.7,59,17.5,338,140,41.4,11,3.3,338,10.2,92,27.2,31,0.9,1038,31.4,412,12.5
'013902,0,0,15,13.8,0,0,0,0,0,0,0,0,.,0,.,0,0,0,0,0,0,0,.,0,3,0.9,318,2,0.6,6,1.9,4,1.3,1,0.3,3,0.9,270,84.9,18,5.7,15,4.7,13,4.1,14,4.4,13,4.1,12,3.8,13,4.1,6,1.9,0,0,0,0,0,0,0,0,0,0,4,1.3,16,5,198,62.3,248,78,0,0,6,1.9,48,15.1,0,0,47,14.8,-1,-1,-1,-1,15,-1,-1,0,0,15,4.7,8,53.3,3,0.9,0,0,61,19.2
'013903,1,0.4,94,21.8,7.7,11.5,0,3.3,0,0,0,0,3.3,4.3,0,0,0,0,0,.,0,0,.,0,29,7,417,0,0,2,0.5,3,0.7,10,2.1,12,2.9,312,74.8,24,5.8,30,7.2,28,6.7,19,4.6,40,9.6,31,7.4,28,6.7,37,8.9,30,7.2,31,7.4,36,8.6,37,8.9,0,0,17,4.1,27,6.5,19,4.6,279,66.9,2,0.5,2,0.5,105,25.2,0,0,223,53.5,6,13.6,-1,-1,44,25,56.8,-1,-1,44,10.6,10,22.7,3,0.7,188,45.1,130,31.2
'013905,1,0.2,93,11.2,2.2000000000000002,0,3.6,3.6,0,0,1.6,0,6.7,2.2999999999999998,14.3,0,0,0,0,0,0,0,11.1,0,49,5.9,826,5,0.6,14,1.7,10,1.2,10,1.1,22,2.7,533,64.5,61,7.4,53,6.4,53,6.4,69,8.4,69,8.4,52,6.3,73,8.8,69,8.4,74,9,64,7.7,64,7.7,71,8.6,1,0.1,61,7.4,53,6.4,0,0,566,68.5,4,0.5,14,1.7,293,35.5,2,0.2,369,44.7,10,11.4,-3,-3,88,42,47.7,-1,-1,88,10.7,26,29.5,8,1,283,34.3,231,28
'014801,63,1.6,2714,70.4,.,.,.,.,.,.,.,.,49.8,.,.,.,.,.,.,.,.,.,47.6,.,108,5.5,1949,7,0.4,106,5.4,270,13.9,0,0,11,0.6,1331,68.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,19.4,589,30.2,528,27.1,453,23.2,0,0,0,0,0,0,0,0,1224,62.8,5,0.3,110,5.6,618,31.7,3,0.2,1875,96.2,10,4.9,48,23.5,204,141,69.1,0,0,204,10.5,5,2.5,26,1.3,845,43.4,414,21.2
'014803,5,1.4,336,36.1,4.2,6.9,3.2,1.7,0,2.2999999999999998,0,4.4000000000000004,22.2,6.4,0,20,0,0,0,0,0,11.1,13.3,0,68,8.6,789,27,3.4,36,4.6,139,17.6,0,0,21,2.7,455,57.7,74,9.4,68,8.6,62,7.9,67,8.5,67,8.5,80,10.1,48,6.1,54,6.8,42,5.3,39,4.9,16,2,12,1.5,0,0,17,2.2,73,9.3,87,11,210,26.6,4,0.5,40,5.1,334,42.3,5,0.6,415,52.6,6,6.2,30,30.9,97,42,43.3,0,0,97,12.3,19,19.6,45,5.7,201,25.5,359,45.5
'014804,0,0,364,21.2,0,1.6,0.9,1,0.8,0.8,0,0,10.1,3.9,4.2,7.1,0,0,7.1,0,16.7,0,42.9,9.1,184,10.7,1719,61,3.5,14,0.8,65,3.8,0,0,78,4.5,264,15.4,138,8,136,7.9,148,8.6,135,7.9,153,8.9,162,9.4,148,8.6,127,7.4,134,7.8,117,6.8,91,5.3,84,4.9,0,0,0,0,146,8.5,0,0,371,21.6,3,0.2,22,1.3,1455,84.6,2,0.1,405,23.6,13,7.9,57,34.5,165,50,30.3,0,0,165,9.6,45,27.3,85,4.9,93,5.4,1132,65.9
